year_month,state,district,stat,ml
2025-03,Andhra Pradesh,Anakapalli,1.0,0.0
2025-03,Andhra Pradesh,Annamayya,1.0,0.0
2025-03,Arunachal Pradesh,Kamle,1.0,0.0
2025-03,Assam,Dima Hasao,1.0,0.0
2025-03,Assam,Sribhumi,1.0,0.0
2025-03,Chhattisgarh,Khairagarh Chhuikhadan Gandai,1.0,0.0
2025-03,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,1.0,0.0
2025-03,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,1.0,0.0
2025-03,Karnataka,Bengaluru South,1.0,0.0
2025-03,Maharashtra,Chhatrapati Sambhajinagar,1.0,0.0
2025-03,Maharashtra,Dharashiv,1.0,0.0
2025-03,Manipur,Kakching,1.0,0.0
2025-03,Meghalaya,East Garo Hills,1.0,0.0
2025-03,Meghalaya,Eastern West Khasi Hills,1.0,0.0
2025-03,Meghalaya,North Garo Hills,1.0,0.0
2025-03,Orissa,Mayurbhanj,1.0,0.0
2025-03,Sikkim,West Sikkim,1.0,0.0
2025-03,West Bengal,Koch Bihar,1.0,0.0
2025-03,West Bengal,South Dinajpur,1.0,0.0
2025-04,Andaman and Nicobar Islands,Nicobar,1.0,0.0
2025-04,Arunachal Pradesh,Kamle,1.0,0.0
2025-04,Assam,Karbi Anglong,1.0,0.0
2025-04,Assam,Sribhumi,1.0,0.0
2025-04,Assam,Tamulpur District,1.0,0.0
2025-04,Bihar,Jehanabad,1.0,0.0
2025-04,Chhattisgarh,Khairagarh Chhuikhadan Gandai,1.0,0.0
2025-04,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,1.0,0.0
2025-04,Chhattisgarh,Sakti,1.0,0.0
2025-04,Gujarat,Dahod,1.0,0.0
2025-04,Gujarat,Dohad,1.0,0.0
2025-04,Jharkhand,Chatra,1.0,0.0
2025-04,Kerala,Alappuzha,1.0,0.0
2025-04,Kerala,Ernakulam,1.0,0.0
2025-04,Kerala,Kannur,1.0,0.0
2025-04,Kerala,Kasargod,1.0,0.0
2025-04,Kerala,Kollam,1.0,1.0
2025-04,Kerala,Kottayam,1.0,0.0
2025-04,Kerala,Pathanamthitta,1.0,0.0
2025-04,Kerala,Thiruvananthapuram,1.0,0.0
2025-04,Maharashtra,Chatrapati Sambhaji Nagar,1.0,0.0
